deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,decision_time_ms_min,max,0.07224082946777344,5
cloud_only,fault_alternate,decision_time_ms_p95,count,5,5
cloud_only,fault_alternate,decision_time_ms_p95,mean,0.36124229431152344,5
cloud_only,fault_alternate,decision_time_ms_p95,median,0.3513455390930176,5
cloud_only,fault_alternate,decision_time_ms_p95,std,0.1126207400105236,5
cloud_only,fault_alternate,decision_time_ms_p95,p95,0.5013060569763184,5
cloud_only,fault_alternate,decision_time_ms_p95,min,0.22363662719726557,5
cloud_only,fault_alternate,decision_time_ms_p95,max,0.5376338958740234,5
cloud_only,fault_alternate,decision_time_ms_std,count,5,5
cloud_only,fault_alternate,decision_time_ms_std,mean,0.1261854242127259,5
cloud_only,fault_alternate,decision_time_ms_std,median,0.11231122134763816,5
cloud_only,fault_alternate,decision_time_ms_std,std,0.04126781008300072,5
cloud_only,fault_alternate,decision_time_ms_std,p95,0.1698611340538439,5
cloud_only,fault_alternate,decision_time_ms_std,min,0.07193390313053116,5
cloud_only,fault_alternate,decision_time_ms_std,max,0.17136361426181615,5
cloud_only,fault_alternate,decision_windows,count,5,5
cloud_only,fault_alternate,decision_windows,mean,27.0,5
cloud_only,fault_alternate,decision_windows,median,31.0,5
cloud_only,fault_alternate,decision_windows,std,10.074720839804943,5
cloud_only,fault_alternate,decision_windows,p95,32.0,5
cloud_only,fault_alternate,decision_windows,min,9.0,5
cloud_only,fault_alternate,decision_windows,max,32.0,5
cloud_only,fault_alternate,detection_latency_ms_count,count,5,5
cloud_only,fault_alternate,detection_latency_ms_count,mean,1317.4,5
cloud_only,fault_alternate,detection_latency_ms_count,median,1619.0,5
cloud_only,fault_alternate,detection_latency_ms_count,std,682.7959431631093,5
cloud_only,fault_alternate,detection_latency_ms_count,p95,1628.0,5
cloud_only,fault_alternate,detection_latency_ms_count,min,96.0,5
cloud_only,fault_alternate,detection_latency_ms_count,max,1629.0,5
cloud_only,fault_alternate,detection_latency_ms_max,count,5,5
cloud_only,fault_alternate,detection_latency_ms_max,mean,17.202138900756836,5
cloud_only,fault_alternate,detection_latency_ms_max,median,16.901016235351562,5
cloud_only,fault_alternate,detection_latency_ms_max,std,11.022789891150744,5
cloud_only,fault_alternate,detection_latency_ms_max,p95,31.15363121032715,5
cloud_only,fault_alternate,detection_latency_ms_max,min,4.873514175415039,5
cloud_only,fault_alternate,detection_latency_ms_max,max,34.006595611572266,5
cloud_only,fault_alternate,detection_latency_ms_mean,count,5,5
cloud_only,fault_alternate,detection_latency_ms_mean,mean,3.4327786065296535,5
cloud_only,fault_alternate,detection_latency_ms_mean,median,3.4265253278944225,5
cloud_only,fault_alternate,detection_latency_ms_mean,std,0.012168211565565053,5
cloud_only,fault_alternate,detection_latency_ms_mean,p95,3.4485124820098974,5
cloud_only,fault_alternate,detection_latency_ms_mean,min,3.4211724996566772,5
cloud_only,fault_alternate,detection_latency_ms_mean,max,3.4507183913760455,5
cloud_only,fault_alternate,detection_latency_ms_median,count,5,5
cloud_only,fault_alternate,detection_latency_ms_median,mean,3.3553361892700195,5
