deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,diagnosis_latency_ms_max,std,2.576768802028185,5
cloud_only,fault_alternate,diagnosis_latency_ms_max,p95,18.986475467681885,5
cloud_only,fault_alternate,diagnosis_latency_ms_max,min,13.983964920043945,5
cloud_only,fault_alternate,diagnosis_latency_ms_max,max,19.687891006469727,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,count,4,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,mean,12.215765083537383,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,median,12.170714490553912,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,std,0.23409700705582828,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,p95,12.488579750061035,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,min,11.985344045302448,5
cloud_only,fault_alternate,diagnosis_latency_ms_mean,max,12.536287307739258,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,count,4,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,mean,12.060433626174927,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,median,12.041449546813965,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,std,0.10926147035344944,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,p95,12.18653917312622,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,min,11.948943138122559,5
cloud_only,fault_alternate,diagnosis_latency_ms_median,max,12.209892272949219,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,count,4,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,mean,9.837925434112549,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,median,9.702801704406738,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,std,0.33389687825643893,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,p95,10.244059562683105,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,min,9.613990783691406,5
cloud_only,fault_alternate,diagnosis_latency_ms_min,max,10.332107543945312,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,count,4,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,mean,14.948922395706175,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,median,14.351433515548706,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,std,1.9109640947495332,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,p95,17.24346339702606,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,min,13.371706008911133,5
cloud_only,fault_alternate,diagnosis_latency_ms_p95,max,17.72111654281616,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,count,4,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,mean,1.4919372022986674,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,median,1.27465066300371,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,std,0.7016821964549211,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,p95,2.3318005020283366,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,min,0.9078708278992457,5
cloud_only,fault_alternate,diagnosis_latency_ms_std,max,2.5105766552880038,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,count,5,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,mean,14.0,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,median,17.0,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,std,7.842193570679061,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,p95,18.0,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,min,0.0,5
cloud_only,fault_alternate,diagnosis_processing_ms_count,max,18.0,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,count,4,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,mean,6.455123424530029,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,median,6.381869316101074,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,std,1.603951977459113,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,p95,8.193278312683105,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,min,4.574298858642578,5
cloud_only,fault_alternate,diagnosis_processing_ms_max,max,8.48245620727539,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,count,4,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,mean,4.390825827916464,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,median,4.42204288407868,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,std,0.14044706230933193,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,p95,4.512451092402141,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,min,4.196377361522002,5
cloud_only,fault_alternate,diagnosis_processing_ms_mean,max,4.522840181986491,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,count,4,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,mean,4.2137205600738525,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,median,4.212737083435059,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,std,0.08389496498576104,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,p95,4.3027520179748535,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,min,4.115462303161621,5
cloud_only,fault_alternate,diagnosis_processing_ms_median,max,4.313945770263672,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,count,4,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,mean,3.7224292755126953,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,median,3.7332773208618164,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,std,0.20799603681553933,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,p95,3.92301082611084,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,min,3.4880638122558594,5
cloud_only,fault_alternate,diagnosis_processing_ms_min,max,3.935098648071289,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,count,4,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,mean,5.509963631629942,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,median,5.504637956619262,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,std,0.8364186341517444,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,p95,6.377269625663754,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,min,4.568195343017578,5
cloud_only,fault_alternate,diagnosis_processing_ms_p95,max,6.462383270263668,5
